Location,Date,Existing_Capacity,Current_Utilization
Seattle,2022-07-05,4400,3656
Seattle,2022-07-06,4400,3676
Seattle,2022-07-07,4400,3681
Seattle,2022-07-08,4400,3690
Seattle,2022-07-09,4400,3712
Seattle,2022-07-10,4400,3720
Seattle,2022-07-11,4400,3726
Seattle,2022-07-12,4400,3725
Seattle,2022-07-13,4400,3744
Seattle,2022-07-14,4400,3743
Seattle,2022-07-15,4400,3757
Seattle,2022-07-16,4400,3771
Seattle,2022-07-17,4400,3773
Seattle,2022-07-18,4400,3797
Seattle,2022-07-19,4400,3822
Seattle,2022-07-20,4400,3831
Seattle,2022-07-21,4400,3835
Seattle,2022-07-22,4400,3861
Seattle,2022-07-23,4400,3881
Seattle,2022-07-24,4400,3901
Seattle,2022-07-25,4400,3913
Seattle,2022-07-26,4400,3934
Seattle,2022-07-27,4400,3944
Seattle,2022-07-28,4400,3944
Seattle,2022-07-29,4400,3948
Seattle,2022-07-30,4400,3972
Seattle,2022-07-31,4400,3995
Seattle,2022-08-01,4400,3997
Seattle,2022-08-02,4400,4006
Seattle,2022-08-03,4400,4013
Seattle,2022-08-04,4400,4020
Seattle,2022-08-05,4400,4042
Seattle,2022-08-06,4400,4067
Seattle,2022-08-07,4400,4082
Seattle,2022-08-08,4400,4086
Seattle,2022-08-09,4400,4089
Seattle,2022-08-10,4400,4100
Seattle,2022-08-11,4400,4097
Seattle,2022-08-12,4400,4104
Seattle,2022-08-13,4400,4122
Seattle,2022-08-14,4400,4128
Seattle,2022-08-15,4400,4142
Seattle,2022-08-16,5587,4163
Seattle,2022-08-17,5587,4159
Seattle,2022-08-18,5587,4162
Seattle,2022-08-19,5587,4187
Seattle,2022-08-20,5587,4200
Seattle,2022-08-21,5587,4224
Seattle,2022-08-22,5587,4242
Seattle,2022-08-23,5587,4245
Seattle,2022-08-24,5587,4245
Seattle,2022-08-25,5587,4252
Seattle,2022-08-26,5587,4276
Seattle,2022-08-27,5587,4302
Seattle,2022-08-28,5587,4309
Seattle,2022-08-29,5587,4317
Seattle,2022-08-30,5587,4318
Seattle,2022-08-31,5587,4342
Seattle,2022-09-01,5587,4367
Seattle,2022-09-02,5587,4381
Seattle,2022-09-03,5587,4405
Seattle,2022-09-04,5587,4427
Seattle,2022-09-05,5587,4447
Seattle,2022-09-06,5587,4472
Seattle,2022-09-07,5587,4467
Seattle,2022-09-08,5587,4486
Seattle,2022-09-09,5587,4508
Seattle,2022-09-10,5587,4528
Seattle,2022-09-11,5587,4531
Seattle,2022-09-12,5587,4550
Seattle,2022-09-13,5587,4556
Seattle,2022-09-14,5587,4580
Seattle,2022-09-15,5587,4582
Seattle,2022-09-16,5587,4605
Seattle,2022-09-17,5587,4612
Seattle,2022-09-18,5587,4633
Seattle,2022-09-19,5587,4634
Seattle,2022-09-20,5587,4650
Seattle,2022-09-21,5587,4658
Seattle,2022-09-22,5587,4660
Seattle,2022-09-23,5587,4686
Seattle,2022-09-24,5587,4695
Seattle,2022-09-25,5587,4705
Seattle,2022-09-26,5587,4709
Seattle,2022-09-27,5587,4708
Seattle,2022-09-28,5587,4711
Seattle,2022-09-29,5587,4737
Seattle,2022-09-30,5587,4732
Seattle,2022-10-01,5587,4752
Seattle,2022-10-02,5587,4766
Seattle,2022-10-03,5587,4791
Seattle,2022-10-04,5587,4806
Seattle,2022-10-05,5587,4820
Seattle,2022-10-06,5587,4834
Seattle,2022-10-07,5587,4840
Seattle,2022-10-08,5587,4844
Seattle,2022-10-09,5587,4855
Seattle,2022-10-10,5587,4875
Seattle,2022-10-11,5587,4895
Seattle,2022-10-12,5587,4921
Seattle,2022-10-13,5587,4947
Seattle,2022-10-14,5587,4953
Seattle,2022-10-15,5587,4964
Seattle,2022-10-16,5587,4997
Seattle,2022-10-17,5587,5026
Seattle,2022-10-18,5587,5045
Seattle,2022-10-19,5587,5070
Seattle,2022-10-20,5587,5076
Seattle,2022-10-21,5587,5104
Seattle,2022-10-22,5587,5120
Seattle,2022-10-23,5587,5142
Seattle,2022-10-24,5587,5153
Seattle,2022-10-25,5587,5175
Seattle,2022-10-26,5587,5191
Seattle,2022-10-27,5587,5198
Seattle,2022-10-28,5587,5220
Seattle,2022-10-29,5587,5244
Seattle,2022-10-30,5587,5271
Seattle,2022-10-31,5587,5292
Seattle,2022-11-01,5587,5302
Seattle,2022-11-02,5587,5323
Seattle,2022-11-03,5587,5323
Seattle,2022-11-04,5587,5331
Seattle,2022-11-05,6783,5348
Seattle,2022-11-06,6783,5370
Seattle,2022-11-07,6783,5381
Seattle,2022-11-08,6783,5396
Seattle,2022-11-09,6783,5416
Seattle,2022-11-10,6783,5433
Seattle,2022-11-11,6783,5462
Seattle,2022-11-12,6783,5484
Seattle,2022-11-13,6783,5503
Seattle,2022-11-14,6783,5514
Seattle,2022-11-15,6783,5538
Seattle,2022-11-16,6783,5557
Seattle,2022-11-17,6783,5563
Seattle,2022-11-18,6783,5597
Seattle,2022-11-19,6783,5607
Seattle,2022-11-20,6783,5615
Seattle,2022-11-21,6783,5639
Seattle,2022-11-22,6783,5641
Seattle,2022-11-23,6783,5641
Seattle,2022-11-24,6783,5658
Seattle,2022-11-25,6783,5689
Seattle,2022-11-26,6783,5692
Seattle,2022-11-27,6783,5708
Seattle,2022-11-28,6783,5725
Seattle,2022-11-29,6783,5750
Seattle,2022-11-30,6783,5763
Seattle,2022-12-01,6783,5774
Seattle,2022-12-02,6783,5781
Seattle,2022-12-03,6783,5801
Seattle,2022-12-04,6783,5833
Seattle,2022-12-05,6783,5864
Seattle,2022-12-06,6783,5890
Seattle,2022-12-07,6783,5915
Seattle,2022-12-08,6783,5921
Seattle,2022-12-09,6783,5949
Seattle,2022-12-10,6783,5966
Seattle,2022-12-11,6783,5969
Seattle,2022-12-12,6783,5980
Seattle,2022-12-13,6783,5984
Seattle,2022-12-14,6783,5992
Seattle,2022-12-15,6783,6009
Seattle,2022-12-16,6783,6027
Seattle,2022-12-17,6783,6046
Seattle,2022-12-18,6783,6080
Seattle,2022-12-19,6783,6109
Seattle,2022-12-20,6783,6132
Seattle,2022-12-21,6783,6157
Seattle,2022-12-22,6783,6174
Seattle,2022-12-23,6783,6205
Seattle,2022-12-24,6783,6218
Seattle,2022-12-25,6783,6245
Seattle,2022-12-26,6783,6261
Seattle,2022-12-27,6783,6273
Seattle,2022-12-28,6783,6284
Seattle,2022-12-29,6783,6304
Seattle,2022-12-30,6783,6332
Seattle,2022-12-31,6783,6349
Seattle,2023-01-01,6783,6364
Seattle,2023-01-02,6783,6369
Seattle,2023-01-03,6783,6367
Seattle,2023-01-04,6783,6370
Seattle,2023-01-05,6783,6376
Seattle,2023-01-06,6783,6402
Seattle,2023-01-07,6783,6399
Seattle,2023-01-08,6783,6398
Seattle,2023-01-09,6783,6405
Seattle,2023-01-10,6783,6422
Seattle,2023-01-11,6783,6421
Seattle,2023-01-12,6783,6430
Seattle,2023-01-13,6783,6444
Seattle,2023-01-14,6783,6451
Seattle,2023-01-15,6783,6454
Seattle,2023-01-16,6783,6464
Seattle,2023-01-17,6783,6488
Seattle,2023-01-18,6783,6513
Seattle,2023-01-19,6783,6522
Seattle,2023-01-20,6783,6518
Seattle,2023-01-21,6783,6524
Seattle,2023-01-22,7958,6548
Seattle,2023-01-23,7958,6569
Seattle,2023-01-24,7958,6592
Seattle,2023-01-25,7958,6615
Seattle,2023-01-26,7958,6625
Seattle,2023-01-27,7958,6630
Seattle,2023-01-28,7958,6639
Seattle,2023-01-29,7958,6647
Seattle,2023-01-30,7958,6665
Seattle,2023-01-31,7958,6683
Seattle,2023-02-01,7958,6706
Seattle,2023-02-02,7958,6730
Seattle,2023-02-03,7958,6747
Seattle,2023-02-04,7958,6744
Seattle,2023-02-05,7958,6760
Seattle,2023-02-06,7958,6775
Seattle,2023-02-07,7958,6774
Seattle,2023-02-08,7958,6775
Seattle,2023-02-09,7958,6774
Seattle,2023-02-10,7958,6779
Seattle,2023-02-11,7958,6784
Seattle,2023-02-12,7958,6794
Seattle,2023-02-13,7958,6801
Seattle,2023-02-14,7958,6806
Seattle,2023-02-15,7958,6808
Seattle,2023-02-16,7958,6817
Seattle,2023-02-17,7958,6838
Seattle,2023-02-18,7958,6835
Seattle,2023-02-19,7958,6836
Seattle,2023-02-20,7958,6854
Seattle,2023-02-21,7958,6872
Seattle,2023-02-22,7958,6897
Seattle,2023-02-23,7958,6897
Seattle,2023-02-24,7958,6911
Seattle,2023-02-25,7958,6913
Seattle,2023-02-26,7958,6922
Seattle,2023-02-27,7958,6935
Seattle,2023-02-28,7958,6945
Seattle,2023-03-01,7958,6965
Seattle,2023-03-02,7958,6968
Seattle,2023-03-03,7958,6981
Seattle,2023-03-04,7958,7000
Seattle,2023-03-05,7958,7026
Seattle,2023-03-06,7958,7027
Seattle,2023-03-07,7958,7023
Seattle,2023-03-08,7958,7038
Seattle,2023-03-09,7958,7045
Seattle,2023-03-10,7958,7045
Seattle,2023-03-11,7958,7062
Seattle,2023-03-12,7958,7061
Seattle,2023-03-13,7958,7086
Seattle,2023-03-14,7958,7105
Seattle,2023-03-15,7958,7128
Seattle,2023-03-16,7958,7147
Seattle,2023-03-17,7958,7156
Seattle,2023-03-18,7958,7165
Seattle,2023-03-19,7958,7165
Seattle,2023-03-20,7958,7181
Seattle,2023-03-21,7958,7178
Seattle,2023-03-22,7958,7201
Seattle,2023-03-23,7958,7201
Seattle,2023-03-24,7958,7227
Seattle,2023-03-25,7958,7244
Seattle,2023-03-26,7958,7261
Seattle,2023-03-27,7958,7269
Seattle,2023-03-28,7958,7290
Seattle,2023-03-29,7958,7316
Seattle,2023-03-30,7958,7333
Seattle,2023-03-31,7958,7354
Seattle,2023-04-01,7958,7365
Seattle,2023-04-02,7958,7389
Seattle,2023-04-03,7958,7393
Seattle,2023-04-04,7958,7415
Seattle,2023-04-05,7958,7435
Seattle,2023-04-06,7958,7440
Seattle,2023-04-07,7958,7444
Seattle,2023-04-08,7958,7460
Seattle,2023-04-09,7958,7478
Seattle,2023-04-10,7958,7482
Seattle,2023-04-11,7958,7493
Seattle,2023-04-12,7958,7495
Seattle,2023-04-13,7958,7497
Seattle,2023-04-14,7958,7518
Seattle,2023-04-15,7958,7524
Seattle,2023-04-16,7958,7550
Seattle,2023-04-17,7958,7568
Seattle,2023-04-18,7958,7579
Seattle,2023-04-19,7958,7590
Seattle,2023-04-20,7958,7587
Seattle,2023-04-21,7958,7607
Seattle,2023-04-22,7958,7620
Seattle,2023-04-23,7958,7639
Seattle,2023-04-24,7958,7658
Seattle,2023-04-25,7958,7675
Seattle,2023-04-26,7958,7683
Seattle,2023-04-27,7958,7681
Seattle,2023-04-28,7958,7685
Seattle,2023-04-29,7958,7702
Seattle,2023-04-30,9046,7709
Seattle,2023-05-01,9046,7722
Seattle,2023-05-02,9046,7734
Seattle,2023-05-03,9046,7745
Seattle,2023-05-04,9046,7751
Seattle,2023-05-05,9046,7770
Seattle,2023-05-06,9046,7774
Seattle,2023-05-07,9046,7777
Seattle,2023-05-08,9046,7775
Seattle,2023-05-09,9046,7779
Seattle,2023-05-10,9046,7800
Seattle,2023-05-11,9046,7825
Seattle,2023-05-12,9046,7826
Seattle,2023-05-13,9046,7846
Seattle,2023-05-14,9046,7852
Seattle,2023-05-15,9046,7874
Seattle,2023-05-16,9046,7889
Seattle,2023-05-17,9046,7887
Seattle,2023-05-18,9046,7891
Seattle,2023-05-19,9046,7897
Seattle,2023-05-20,9046,7900
Seattle,2023-05-21,9046,7920
Seattle,2023-05-22,9046,7920
Seattle,2023-05-23,9046,7915
Seattle,2023-05-24,9046,7928
Seattle,2023-05-25,9046,7945
Seattle,2023-05-26,9046,7962
Seattle,2023-05-27,9046,7959
Seattle,2023-05-28,9046,7973
Seattle,2023-05-29,9046,7985
Seattle,2023-05-30,9046,7995
Seattle,2023-05-31,9046,7994
Seattle,2023-06-01,9046,8001
Seattle,2023-06-02,9046,8000
Seattle,2023-06-03,9046,8011
Seattle,2023-06-04,9046,8013
Seattle,2023-06-05,9046,8034
Seattle,2023-06-06,9046,8032
Seattle,2023-06-07,9046,8036
Seattle,2023-06-08,9046,8064
Seattle,2023-06-09,9046,8063
Seattle,2023-06-10,9046,8066
Seattle,2023-06-11,9046,8089
Seattle,2023-06-12,9046,8108
Seattle,2023-06-13,9046,8133
Seattle,2023-06-14,9046,8140
Seattle,2023-06-15,9046,8151
Seattle,2023-06-16,9046,8179
Seattle,2023-06-17,9046,8188
Seattle,2023-06-18,9046,8199
Seattle,2023-06-19,9046,8217
Seattle,2023-06-20,9046,8218
Seattle,2023-06-21,9046,8249
Seattle,2023-06-22,9046,8249
Seattle,2023-06-23,9046,8266
Seattle,2023-06-24,9046,8275
Seattle,2023-06-25,9046,8274
Seattle,2023-06-26,9046,8278
Seattle,2023-06-27,9046,8291
Seattle,2023-06-28,9046,8292
Seattle,2023-06-29,9046,8304
Seattle,2023-06-30,9046,8326
Seattle,2023-07-01,9046,8339
Seattle,2023-07-02,9046,8337
Seattle,2023-07-03,9046,8347
Seattle,2023-07-04,9046,8357
Seattle,2023-07-05,9046,8383
Seattle,2023-07-06,9046,8386
Seattle,2023-07-07,9046,8391
Seattle,2023-07-08,9046,8417
Seattle,2023-07-09,9046,8436
Seattle,2023-07-10,9046,8458
Seattle,2023-07-11,9046,8467
Seattle,2023-07-12,9046,8481
Seattle,2023-07-13,9046,8498
Seattle,2023-07-14,9046,8525
Seattle,2023-07-15,9046,8548
Seattle,2023-07-16,9046,8546
Seattle,2023-07-17,9046,8549
Seattle,2023-07-18,9046,8569
Seattle,2023-07-19,9046,8595
Seattle,2023-07-20,9046,8622
Seattle,2023-07-21,9046,8632
Seattle,2023-07-22,9046,8647
Seattle,2023-07-23,9046,8657
Seattle,2023-07-24,9046,8667
Seattle,2023-07-25,9046,8683
Seattle,2023-07-26,9046,8697
Seattle,2023-07-27,9046,8699
Seattle,2023-07-28,9046,8699
Seattle,2023-07-29,9046,8720
Seattle,2023-07-30,9046,8737
Seattle,2023-07-31,9046,8733
Seattle,2023-08-01,9046,8741
Seattle,2023-08-02,9046,8767
Seattle,2023-08-03,9046,8781
Seattle,2023-08-04,10083,8806
Seattle,2023-08-05,10083,8820
Seattle,2023-08-06,10083,8841
Seattle,2023-08-07,10083,8856
Seattle,2023-08-08,10083,8875
Seattle,2023-08-09,10083,8902
Seattle,2023-08-10,10083,8907
Seattle,2023-08-11,10083,8921
Seattle,2023-08-12,10083,8946
Seattle,2023-08-13,10083,8947
Seattle,2023-08-14,10083,8957
Seattle,2023-08-15,10083,8965
Seattle,2023-08-16,10083,8982
Seattle,2023-08-17,10083,9006
Seattle,2023-08-18,10083,9015
Seattle,2023-08-19,10083,9036
Seattle,2023-08-20,10083,9046
Seattle,2023-08-21,10083,9075
Seattle,2023-08-22,10083,9101
Seattle,2023-08-23,10083,9101
Seattle,2023-08-24,10083,9101
Seattle,2023-08-25,10083,9107
Seattle,2023-08-26,10083,9109
Seattle,2023-08-27,10083,9136
Seattle,2023-08-28,10083,9158
Seattle,2023-08-29,10083,9179
Seattle,2023-08-30,10083,9192
Seattle,2023-08-31,10083,9190
Seattle,2023-09-01,10083,9202
Seattle,2023-09-02,10083,9218
Seattle,2023-09-03,10083,9235
Seattle,2023-09-04,10083,9253
Seattle,2023-09-05,10083,9255
Seattle,2023-09-06,10083,9267
Seattle,2023-09-07,10083,9292
Seattle,2023-09-08,10083,9303
Seattle,2023-09-09,10083,9300
Seattle,2023-09-10,10083,9318
Seattle,2023-09-11,10083,9338
Seattle,2023-09-12,10083,9355
Seattle,2023-09-13,10083,9362
Seattle,2023-09-14,10083,9360
Seattle,2023-09-15,10083,9367
Seattle,2023-09-16,10083,9368
Seattle,2023-09-17,10083,9376
Seattle,2023-09-18,10083,9391
Seattle,2023-09-19,10083,9402
Seattle,2023-09-20,10083,9414
Seattle,2023-09-21,10083,9424
Seattle,2023-09-22,10083,9434
Seattle,2023-09-23,10083,9446
Seattle,2023-09-24,10083,9447
Seattle,2023-09-25,10083,9451
Seattle,2023-09-26,10083,9462
Seattle,2023-09-27,10083,9483
Seattle,2023-09-28,10083,9488
Seattle,2023-09-29,10083,9496
Seattle,2023-09-30,10083,9498
Seattle,2023-10-01,10083,9510
Seattle,2023-10-02,10083,9523
Seattle,2023-10-03,10083,9543
Seattle,2023-10-04,10083,9565
Seattle,2023-10-05,10083,9591
Seattle,2023-10-06,10083,9607
Seattle,2023-10-07,10083,9622
Seattle,2023-10-08,10083,9634
Seattle,2023-10-09,10083,9660
Seattle,2023-10-10,10083,9673
Seattle,2023-10-11,10083,9702
Seattle,2023-10-12,10083,9728
Seattle,2023-10-13,10083,9749
Seattle,2023-10-14,10083,9768
Seattle,2023-10-15,10083,9779
Seattle,2023-10-16,10083,9804
Seattle,2023-10-17,10083,9805
Seattle,2023-10-18,10083,9829
Seattle,2023-10-19,11178,9855
Seattle,2023-10-20,11178,9870
Seattle,2023-10-21,11178,9899
Seattle,2023-10-22,11178,9918
Seattle,2023-10-23,11178,9931
Seattle,2023-10-24,11178,9937
Seattle,2023-10-25,11178,9969
Seattle,2023-10-26,11178,9983
Seattle,2023-10-27,11178,9990
Seattle,2023-10-28,11178,10018
Seattle,2023-10-29,11178,10023
Seattle,2023-10-30,11178,10053
Seattle,2023-10-31,11178,10056
Seattle,2023-11-01,11178,10061
Seattle,2023-11-02,11178,10091
Seattle,2023-11-03,11178,10093
Seattle,2023-11-04,11178,10112
Seattle,2023-11-05,11178,10120
Seattle,2023-11-06,11178,10142
Seattle,2023-11-07,11178,10157
Seattle,2023-11-08,11178,10163
Seattle,2023-11-09,11178,10177
Seattle,2023-11-10,11178,10202
Seattle,2023-11-11,11178,10220
Seattle,2023-11-12,11178,10250
Seattle,2023-11-13,11178,10273
Seattle,2023-11-14,11178,10305
Seattle,2023-11-15,11178,10324
Seattle,2023-11-16,11178,10339
Seattle,2023-11-17,11178,10356
Seattle,2023-11-18,11178,10366
Seattle,2023-11-19,11178,10387
Seattle,2023-11-20,11178,10397
Seattle,2023-11-21,11178,10400
Seattle,2023-11-22,11178,10407
Seattle,2023-11-23,11178,10430
Seattle,2023-11-24,11178,10455
Seattle,2023-11-25,11178,10468
Seattle,2023-11-26,11178,10490
Seattle,2023-11-27,11178,10516
Seattle,2023-11-28,11178,10517
Seattle,2023-11-29,11178,10540
Seattle,2023-11-30,11178,10549
Seattle,2023-12-01,11178,10561
Seattle,2023-12-02,11178,10564
Seattle,2023-12-03,11178,10581
Seattle,2023-12-04,11178,10602
Seattle,2023-12-05,11178,10626
Seattle,2023-12-06,11178,10630
Seattle,2023-12-07,11178,10634
Seattle,2023-12-08,11178,10662
Seattle,2023-12-09,11178,10684
Seattle,2023-12-10,11178,10692
Seattle,2023-12-11,11178,10723
Seattle,2023-12-12,11178,10726
Seattle,2023-12-13,11178,10743
Seattle,2023-12-14,11178,10752
Seattle,2023-12-15,11178,10763
Seattle,2023-12-16,11178,10767
Seattle,2023-12-17,11178,10781
Seattle,2023-12-18,11178,10804
Seattle,2023-12-19,11178,10807
Seattle,2023-12-20,11178,10821
Seattle,2023-12-21,11178,10839
Seattle,2023-12-22,11178,10860
Seattle,2023-12-23,11178,10882
Seattle,2023-12-24,11178,10900
Seattle,2023-12-25,11178,10908
Seattle,2023-12-26,11178,10924
Seattle,2023-12-27,12199,10937
Seattle,2023-12-28,12199,10951
Seattle,2023-12-29,12199,10964
Seattle,2023-12-30,12199,10976
Seattle,2023-12-31,12199,10983
Seattle,2024-01-01,12199,11006
Seattle,2024-01-02,12199,11008
Seattle,2024-01-03,12199,11020
Seattle,2024-01-04,12199,11047
Seattle,2024-01-05,12199,11067
Seattle,2024-01-06,12199,11089
Seattle,2024-01-07,12199,11108
Seattle,2024-01-08,12199,11123
Seattle,2024-01-09,12199,11125
Seattle,2024-01-10,12199,11140
Seattle,2024-01-11,12199,11156
Seattle,2024-01-12,12199,11170
Seattle,2024-01-13,12199,11192
Seattle,2024-01-14,12199,11198
Seattle,2024-01-15,12199,11197
Seattle,2024-01-16,12199,11203
Seattle,2024-01-17,12199,11201
Seattle,2024-01-18,12199,11208
Seattle,2024-01-19,12199,11208
Seattle,2024-01-20,12199,11210
Seattle,2024-01-21,12199,11234
Seattle,2024-01-22,12199,11248
Seattle,2024-01-23,12199,11273
Seattle,2024-01-24,12199,11294
Seattle,2024-01-25,12199,11299
Seattle,2024-01-26,12199,11325
Seattle,2024-01-27,12199,11344
Seattle,2024-01-28,12199,11363
Seattle,2024-01-29,12199,11371
Seattle,2024-01-30,12199,11370
Seattle,2024-01-31,12199,11394
Seattle,2024-02-01,12199,11422
Seattle,2024-02-02,12199,11427
Seattle,2024-02-03,12199,11449
Seattle,2024-02-04,12199,11445
Seattle,2024-02-05,12199,11456
Seattle,2024-02-06,12199,11466
Seattle,2024-02-07,12199,11483
Seattle,2024-02-08,12199,11498
Seattle,2024-02-09,12199,11520
Seattle,2024-02-10,12199,11518
Seattle,2024-02-11,12199,11527
Seattle,2024-02-12,12199,11544
Seattle,2024-02-13,12199,11552
Seattle,2024-02-14,12199,11553
